starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 25 15:21:16 2024	1706196076	0	0	1	0
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	1	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	1	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	1	0	1	0
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	0
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	1	1	1	0
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	1	1	1	0
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	1	1	1	0
Thu Jan 25 15:21:16 2024	1706196076	1	1	1	0
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	1	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	0	1	1	1
Thu Jan 25 15:21:16 2024	1706196076	1	1	1	0
